cohortId,cohortName
2675,First_diagnosis_of__22q_partial_monosomy_syndrome
2676,First_diagnosis_of__22q11_2_deletion_syndrome
2677,First_diagnosis_of__3_Methylglutaconic_aciduria_type_2
2678,First_diagnosis_of__3_Methylglutaconic_aciduria
2679,First_diagnosis_of__46__XX_true_hermaphrodite
2680,First_diagnosis_of__4p_partial_monosomy_syndrome
2681,First_diagnosis_of__5_10_Methylenetetrahydrofolate_reductase_deficiency
2682,First_diagnosis_of__5p_partial_monosomy_syndrome
2683,First_diagnosis_of__7q_partial_monosomy_syndrome
2684,First_diagnosis_of__A_pattern_strabismus
2685,First_diagnosis_of__Abdominal_abscess
2686,First_diagnosis_of__Abdominal_actinomycosis
2687,First_diagnosis_of__Abdominal_aortic_aneurysm_without_rupture
2688,First_diagnosis_of__Abdominal_aortic_aneurysm
2689,First_diagnosis_of__Abdominal_aortic_ectasia
2690,First_diagnosis_of__Abdominal_cavity_injury
2691,First_diagnosis_of__Abdominal_colic
2692,First_diagnosis_of__Abdominal_compartment_syndrome
2693,First_diagnosis_of__Abdominal_distension__gaseous
2694,First_diagnosis_of__Abdominal_mass
2695,First_diagnosis_of__Abdominal_migraine
2696,First_diagnosis_of__Abdominal_organomegaly
2697,First_diagnosis_of__Abdominal_pain
2698,First_diagnosis_of__Abdominal_pregnancy
2699,First_diagnosis_of__Abdominal_rigidity_of_epigastrium
2700,First_diagnosis_of__Abdominal_rigidity_of_left_lower_quadrant
2701,First_diagnosis_of__Abdominal_rigidity_of_left_upper_quadrant
2702,First_diagnosis_of__Abdominal_rigidity_of_periumbilical_region
2703,First_diagnosis_of__Abdominal_rigidity_of_right_lower_quadrant
2704,First_diagnosis_of__Abdominal_rigidity_of_right_upper_quadrant
2705,First_diagnosis_of__Abdominal_rigidity
2706,First_diagnosis_of__Abdominal_tenderness
2707,First_diagnosis_of__Abdominal_visceral_abscess
2708,First_diagnosis_of__Abdominal_wall_tumor
2709,First_diagnosis_of__Abdominal_wind_pain
2710,First_diagnosis_of__Abducens_nerve_disorder
2711,First_diagnosis_of__Abducens_nerve_palsy
2712,First_diagnosis_of__Abduction_deformity_of_foot
2713,First_diagnosis_of__Aberrant_premature_complexes
2714,First_diagnosis_of__Able_to_perform_paid_work
2715,First_diagnosis_of__Abnormal_anal_Papanicolaou_smear
2716,First_diagnosis_of__Abnormal_arterial_blood_gas
2717,First_diagnosis_of__Abnormal_atrioventricular_connection___biventricular
2718,First_diagnosis_of__Abnormal_atrioventricular_connection___univentricular
2719,First_diagnosis_of__Abnormal_atrioventricular_connection
2720,First_diagnosis_of__Abnormal_auditory_perception
2721,First_diagnosis_of__Abnormal_biochemical_finding_on_antenatal_screening_of_mother
2722,First_diagnosis_of__Abnormal_blood_cell_count
2723,First_diagnosis_of__Abnormal_blood_pressure
2724,First_diagnosis_of__Abnormal_blue_sclerae
2725,First_diagnosis_of__Abnormal_body_temperature
2726,First_diagnosis_of__Abnormal_bone_formation
2727,First_diagnosis_of__Abnormal_bowel_sounds
2728,First_diagnosis_of__Abnormal_breathing
2729,First_diagnosis_of__Abnormal_cardiac_rate
2730,First_diagnosis_of__Abnormal_cardiovascular_function
2731,First_diagnosis_of__Abnormal_cerebral_signs_in_the_newborn
2732,First_diagnosis_of__Abnormal_cervical_Papanicolaou_smear_with_positive_human_papillomavirus_deoxyribonucleic_acid_test
2733,First_diagnosis_of__Abnormal_cervical_Papanicolaou_smear
2734,First_diagnosis_of__Abnormal_cervical_smear
2735,First_diagnosis_of__Abnormal_chest_sounds
2736,First_diagnosis_of__Abnormal_chorion
2737,First_diagnosis_of__Abnormal_chromosomal_and_genetic_finding_on_antenatal_screening_of_mother
2738,First_diagnosis_of__Abnormal_composition_of_urine
2739,First_diagnosis_of__Abnormal_cytological_finding_in_specimen_from_female_genital_organ
2740,First_diagnosis_of__Abnormal_cytological_finding_in_specimen_from_male_genital_organ
2741,First_diagnosis_of__Abnormal_cytological_finding_on_antenatal_screening_of_mother
2742,First_diagnosis_of__Abnormal_cytological_findings_in_CSF
2743,First_diagnosis_of__Abnormal_cytology_findings
2744,First_diagnosis_of__Abnormal_dark_adaptation_curve
2745,First_diagnosis_of__Abnormal_defecation
2746,First_diagnosis_of__Abnormal_delivery
2747,First_diagnosis_of__Abnormal_dermatoglyphic_pattern
2748,First_diagnosis_of__Abnormal_development_of_female_secondary_sexual_characteristics
2749,First_diagnosis_of__Abnormal_development_of_secondary_sexual_characteristics
2750,First_diagnosis_of__Abnormal_development_of_sexuality
2751,First_diagnosis_of__Abnormal_enzyme_level_finding_in_specimen_from_digestive_organ_and_or_abdominal_cavity
2752,First_diagnosis_of__Abnormal_enzyme_level_in_specimen_from_female_genital_organ
2753,First_diagnosis_of__Abnormal_enzyme_level_in_specimen_from_respiratory_organ_and_thorax
2754,First_diagnosis_of__Abnormal_enzyme_level_in_specimens_from_male_genital_organs
2755,First_diagnosis_of__Abnormal_enzyme_levels_in_cerebrospinal_fluid
2756,First_diagnosis_of__Abnormal_feces
