COHORT_DEFINITION_ID,COHORT_NAME,fileName,cohortId,cohortName
1000632,clotrimazole,clotrimazole.sql,1,clotrimazole
40174023,Streptococcus_pneumoniae_serotype_7F_capsular_antigen_diphtheria_CRM197_protein_conjugate_vaccine,Streptococcus_pneumoniae_serotype_7F_capsular_antigen_diphtheria_CRM197_protein_conjugate_vaccine.sql,2,Streptococcus_pneumoniae_serotype_7F_capsular_antigen_diphtheria_CRM197_protein_conjugate_vaccine
905233,mometasone,mometasone.sql,3,mometasone
1335471,benazepril,benazepril.sql,4,benazepril
1518254,dexamethasone,dexamethasone.sql,5,dexamethasone
1521987,teriparatide,teriparatide.sql,6,teriparatide
744740,zolpidem,zolpidem.sql,7,zolpidem
40163668,Streptococcus_pneumoniae_type_10A_capsular_polysaccharide_antigen,Streptococcus_pneumoniae_type_10A_capsular_polysaccharide_antigen.sql,8,Streptococcus_pneumoniae_type_10A_capsular_polysaccharide_antigen
40163694,Streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen,Streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen.sql,9,Streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen
1154077,rizatriptan,rizatriptan.sql,10,rizatriptan
753626,propofol,propofol.sql,11,propofol
981709,dorzolamide,dorzolamide.sql,12,dorzolamide
1351115,ubidecarenone,ubidecarenone.sql,13,ubidecarenone
1309799,eplerenone,eplerenone.sql,14,eplerenone
1135766,phenylephrine,phenylephrine.sql,15,phenylephrine
19071160,perflutren,perflutren.sql,16,perflutren
906780,metoclopramide,metoclopramide.sql,17,metoclopramide
1119510,dextromethorphan,dextromethorphan.sql,18,dextromethorphan
1136980,ketorolac,ketorolac.sql,19,ketorolac
42873956,influenza_A_virus_vaccine__A_Victoria_361_2011__H3N2__like_virus,influenza_A_virus_vaccine__A_Victoria_361_2011__H3N2__like_virus.sql,20,influenza_A_virus_vaccine__A_Victoria_361_2011__H3N2__like_virus
1777087,hydroxychloroquine,hydroxychloroquine.sql,21,hydroxychloroquine
780369,metaxalone,metaxalone.sql,22,metaxalone
920458,betamethasone,betamethasone.sql,23,betamethasone
19011773,ascorbic_acid,ascorbic_acid.sql,24,ascorbic_acid
42900505,linaclotide,linaclotide.sql,25,linaclotide
1344143,albumin_human__USP,albumin_human__USP.sql,26,albumin_human__USP
716968,desipramine,desipramine.sql,27,desipramine
1152631,cromolyn,cromolyn.sql,28,cromolyn
729855,botulinum_toxin_type_A,botulinum_toxin_type_A.sql,29,botulinum_toxin_type_A
904356,methenamine,methenamine.sql,30,methenamine
19058274,purified_protein_derivative_of_tuberculin,purified_protein_derivative_of_tuberculin.sql,31,purified_protein_derivative_of_tuberculin
1167322,allopurinol,allopurinol.sql,32,allopurinol
19066274,selenite,selenite.sql,33,selenite
42904177,perampanel,perampanel.sql,34,perampanel
929504,proparacaine,proparacaine.sql,35,proparacaine
720810,pramipexole,pramipexole.sql,36,pramipexole
1799139,oseltamivir,oseltamivir.sql,37,oseltamivir
929128,propylene_glycol,propylene_glycol.sql,38,propylene_glycol
1347450,alteplase,alteplase.sql,39,alteplase
1796435,cefixime,cefixime.sql,40,cefixime
19006586,rufinamide,rufinamide.sql,41,rufinamide
1397599,cisplatin,cisplatin.sql,42,cisplatin
40170911,liraglutide,liraglutide.sql,43,liraglutide
929638,acitretin,acitretin.sql,44,acitretin
1338005,bisoprolol,bisoprolol.sql,45,bisoprolol
42900250,enzalutamide,enzalutamide.sql,46,enzalutamide
1304919,pemetrexed,pemetrexed.sql,47,pemetrexed
1592085,lovastatin,lovastatin.sql,48,lovastatin
19027362,potassium_phosphate,potassium_phosphate.sql,49,potassium_phosphate
19026972,lenalidomide,lenalidomide.sql,50,lenalidomide
1436678,tamoxifen,tamoxifen.sql,51,tamoxifen
990678,chlordiazepoxide,chlordiazepoxide.sql,52,chlordiazepoxide
19037624,acetylcholine,acetylcholine.sql,53,acetylcholine
19106287,vitamin_K2,vitamin_K2.sql,54,vitamin_K2
35605546,tenofovir_alafenamide,tenofovir_alafenamide.sql,55,tenofovir_alafenamide
951980,sacrosidase,sacrosidase.sql,56,sacrosidase
1335539,phentolamine,phentolamine.sql,57,phentolamine
1703603,famciclovir,famciclovir.sql,58,famciclovir
37497986,voxelotor,voxelotor.sql,59,voxelotor
1395573,chondroitin_sulfates,chondroitin_sulfates.sql,60,chondroitin_sulfates
1758536,etravirine,etravirine.sql,61,etravirine
19066774,serine,serine.sql,62,serine
19088571,leucine,leucine.sql,63,leucine
1125443,dornase_alfa,dornase_alfa.sql,64,dornase_alfa
735850,disulfiram,disulfiram.sql,65,disulfiram
1724703,oxacillin,oxacillin.sql,66,oxacillin
964008,bictegravir,bictegravir.sql,67,bictegravir
1750087,povidone_iodine,povidone_iodine.sql,68,povidone_iodine
906149,trypsin,trypsin.sql,69,trypsin
1558471,cabergoline,cabergoline.sql,70,cabergoline
1738135,efavirenz,efavirenz.sql,71,efavirenz
1703653,itraconazole,itraconazole.sql,72,itraconazole
1598819,clomiphene,clomiphene.sql,73,clomiphene
40239056,abiraterone,abiraterone.sql,74,abiraterone
