COHORT_DEFINITION_ID,COHORT_NAME,fileName,cohortId,cohortName
981709,dorzolamide,dorzolamide.sql,1,dorzolamide
1119510,dextromethorphan,dextromethorphan.sql,2,dextromethorphan
1135766,phenylephrine,phenylephrine.sql,3,phenylephrine
1136980,ketorolac,ketorolac.sql,4,ketorolac
1344143,albumin_human__USP,albumin_human__USP.sql,5,albumin_human__USP
1518254,dexamethasone,dexamethasone.sql,6,dexamethasone
40163668,Streptococcus_pneumoniae_type_10A_capsular_polysaccharide_antigen,Streptococcus_pneumoniae_type_10A_capsular_polysaccharide_antigen.sql,7,Streptococcus_pneumoniae_type_10A_capsular_polysaccharide_antigen
40163694,Streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen,Streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen.sql,8,Streptococcus_pneumoniae_type_3_capsular_polysaccharide_antigen
920458,betamethasone,betamethasone.sql,9,betamethasone
1592085,lovastatin,lovastatin.sql,10,lovastatin
40174023,Streptococcus_pneumoniae_serotype_7F_capsular_antigen_diphtheria_CRM197_protein_conjugate_vaccine,Streptococcus_pneumoniae_serotype_7F_capsular_antigen_diphtheria_CRM197_protein_conjugate_vaccine.sql,11,Streptococcus_pneumoniae_serotype_7F_capsular_antigen_diphtheria_CRM197_protein_conjugate_vaccine
40170911,liraglutide,liraglutide.sql,12,liraglutide
744740,zolpidem,zolpidem.sql,13,zolpidem
1799139,oseltamivir,oseltamivir.sql,14,oseltamivir
1000632,clotrimazole,clotrimazole.sql,15,clotrimazole
753626,propofol,propofol.sql,16,propofol
19011773,ascorbic_acid,ascorbic_acid.sql,17,ascorbic_acid
42873956,influenza_A_virus_vaccine__A_Victoria_361_2011__H3N2__like_virus,influenza_A_virus_vaccine__A_Victoria_361_2011__H3N2__like_virus.sql,18,influenza_A_virus_vaccine__A_Victoria_361_2011__H3N2__like_virus
1796435,cefixime,cefixime.sql,19,cefixime
1436678,tamoxifen,tamoxifen.sql,20,tamoxifen
906780,metoclopramide,metoclopramide.sql,21,metoclopramide
929128,propylene_glycol,propylene_glycol.sql,22,propylene_glycol
1338005,bisoprolol,bisoprolol.sql,23,bisoprolol
929504,proparacaine,proparacaine.sql,24,proparacaine
905233,mometasone,mometasone.sql,25,mometasone
1154077,rizatriptan,rizatriptan.sql,26,rizatriptan
1167322,allopurinol,allopurinol.sql,27,allopurinol
1309799,eplerenone,eplerenone.sql,28,eplerenone
1347450,alteplase,alteplase.sql,29,alteplase
1351115,ubidecarenone,ubidecarenone.sql,30,ubidecarenone
19027362,potassium_phosphate,potassium_phosphate.sql,31,potassium_phosphate
19058274,purified_protein_derivative_of_tuberculin,purified_protein_derivative_of_tuberculin.sql,32,purified_protein_derivative_of_tuberculin
19071160,perflutren,perflutren.sql,33,perflutren
19070012,sodium_tetradecyl_sulfate,sodium_tetradecyl_sulfate.sql,34,sodium_tetradecyl_sulfate
720810,pramipexole,pramipexole.sql,35,pramipexole
904356,methenamine,methenamine.sql,36,methenamine
19069019,histamine,histamine.sql,37,histamine
1738135,efavirenz,efavirenz.sql,38,efavirenz
19037624,acetylcholine,acetylcholine.sql,39,acetylcholine
729855,botulinum_toxin_type_A,botulinum_toxin_type_A.sql,40,botulinum_toxin_type_A
1152631,cromolyn,cromolyn.sql,41,cromolyn
735850,disulfiram,disulfiram.sql,42,disulfiram
990678,chlordiazepoxide,chlordiazepoxide.sql,43,chlordiazepoxide
35605546,tenofovir_alafenamide,tenofovir_alafenamide.sql,44,tenofovir_alafenamide
45892847,edoxaban,edoxaban.sql,45,edoxaban
1395573,chondroitin_sulfates,chondroitin_sulfates.sql,46,chondroitin_sulfates
963950,tezacaftor,tezacaftor.sql,47,tezacaftor
1125443,dornase_alfa,dornase_alfa.sql,48,dornase_alfa
780369,metaxalone,metaxalone.sql,49,metaxalone
40239056,abiraterone,abiraterone.sql,50,abiraterone
1558471,cabergoline,cabergoline.sql,51,cabergoline
1703603,famciclovir,famciclovir.sql,52,famciclovir
1397599,cisplatin,cisplatin.sql,53,cisplatin
35604680,tetanus_immune_globulin,tetanus_immune_globulin.sql,54,tetanus_immune_globulin
529076,L1_protein__human_papillomavirus_type_11_vaccine,L1_protein__human_papillomavirus_type_11_vaccine.sql,55,L1_protein__human_papillomavirus_type_11_vaccine
1724703,oxacillin,oxacillin.sql,56,oxacillin
19006586,rufinamide,rufinamide.sql,57,rufinamide
1521987,teriparatide,teriparatide.sql,58,teriparatide
716968,desipramine,desipramine.sql,59,desipramine
1335471,benazepril,benazepril.sql,60,benazepril
964008,bictegravir,bictegravir.sql,61,bictegravir
1335539,phentolamine,phentolamine.sql,62,phentolamine
715710,rasagiline,rasagiline.sql,63,rasagiline
1598819,clomiphene,clomiphene.sql,64,clomiphene
1164108,salicylamide,salicylamide.sql,65,salicylamide
19066274,selenite,selenite.sql,66,selenite
1304919,pemetrexed,pemetrexed.sql,67,pemetrexed
19066774,serine,serine.sql,68,serine
19088571,leucine,leucine.sql,69,leucine
